Hidden Layers,Activation Function,Epochs,Learning Rate,Batch Size,MSE
[4],ReLU,10,0.001,32,0.034905013
[4],ReLU,10,0.001,64,0.095975585
[4],ReLU,10,0.001,128,0.052907486
[4],ReLU,10,0.001,256,0.35623696
[4],ReLU,10,0.001,512,0.07135901
[4],ReLU,10,0.0001,16,0.12251274
[4],ReLU,10,0.0001,32,0.23612718
[4],ReLU,10,0.0001,64,0.045968994
[4],ReLU,10,0.0001,128,0.17687736
[4],ReLU,10,0.0001,256,0.12705974
[4],ReLU,10,0.0001,512,0.25975186
[4],ReLU,25,0.1,16,0.014743021
[4],ReLU,25,0.1,32,0.015080588
[4],ReLU,25,0.1,64,0.015112548
[4],ReLU,25,0.1,128,0.016146163
[4],ReLU,25,0.1,256,0.016907034
[4],ReLU,25,0.1,512,0.017634185
[4],ReLU,25,0.01,16,0.016724905
[4],ReLU,25,0.01,32,0.015784377
[4],ReLU,25,0.01,64,0.018640686
[4],ReLU,25,0.01,128,0.021371253
[4],ReLU,25,0.01,256,0.023524487
[4],ReLU,25,0.01,512,0.033970453
[4],ReLU,25,0.001,16,0.01890868
[4],ReLU,25,0.001,32,0.025546512
[4],ReLU,25,0.001,64,0.03732229
[4],ReLU,25,0.001,128,0.034216005
[4],ReLU,25,0.001,256,0.06742052
[4],ReLU,25,0.001,512,0.027268346
[4],ReLU,25,0.0001,16,0.03803961
[4],ReLU,25,0.0001,32,0.06409397
[4],ReLU,25,0.0001,64,0.06605184
[4],ReLU,25,0.0001,128,0.07212825
[4],ReLU,25,0.0001,256,0.3441797
[4],ReLU,25,0.0001,512,0.16413309
[4],ReLU,50,0.1,16,0.014718895
[4],ReLU,50,0.1,32,0.01478136
[4],ReLU,50,0.1,64,0.01499004
[4],ReLU,50,0.1,128,0.015466904
[4],ReLU,50,0.1,256,0.016262202
[4],ReLU,50,0.1,512,0.017678559
[4],ReLU,50,0.01,16,0.014845198
[4],ReLU,50,0.01,32,0.017179405
[4],ReLU,50,0.01,64,0.017128244
[4],ReLU,50,0.01,128,0.018560791
[4],ReLU,50,0.01,256,0.01944035
[4],ReLU,50,0.01,512,0.023946462
